1.make by jenkin
32.454009,130.194885,Tyranitar,班吉拉,42,21:23:00,248
34.253207,132.561722,Chansey,吉利蛋,,21:26:42,113
34.694756,135.526414,Chansey,吉利蛋,,21:31:22,113
34.478697,133.824580,Dragonite,快龙,20,21:17:41,149
35.398723,136.942986,Dragonite,快龙,44,21:17:57,149
43.118560,141.241174,Dragonite,快龙,51,21:24:09,149
35.202390,138.647464,Dragonite,快龙,46,21:21:28,149
31.706675,130.793157,Dragonite,快龙,77,21:29:43,149
22.461398,114.014653,Dragonite,快龙,40,21:20:00,149
35.606402,139.327529,Dragonite,快龙,42,21:27:41,149
31.340584,130.897563,Dragonite,快龙,53,21:32:58,149
34.986369,137.195219,Dragonite,快龙,55,21:29:54,149
22.508901,114.091307,Dragonite,快龙,28,21:22:04,149
34.437117,133.272208,Dragonite,快龙,40,21:39:26,149
50.103238,8.794768,Dragonite,快龙,44,21:16:11,149
35.643311,139.340928,Dragonite,快龙,33,21:39:22,149
35.620833,135.055166,Dragonite,快龙,46,21:37:54,149
34.395252,132.525482,Dragonite,快龙,,21:44:17,149
38.049749,140.170778,Dragonite,快龙,66,21:25:52,149
40.828686,140.780375,Unown,未知图腾,53,21:23:20,201
33.696981,130.416092,Unown,未知图腾,31,21:34:37,201
42.924389,-81.231703,Unown,未知图腾,62,21:15:12,201
34.771409,137.326501,Larvitar,由基拉,44,21:18:31,246
35.623837,139.767963,Larvitar,由基拉,42,21:16:20,246
35.499758,135.743696,Larvitar,由基拉,46,21:20:04,246
35.226957,139.707612,Larvitar,由基拉,40,21:16:02,246
34.645875,136.535482,Larvitar,由基拉,35,21:17:47,246
35.300975,135.319153,Larvitar,由基拉,35,21:18:55,246
33.953197,131.161242,Larvitar,由基拉,53,21:28:14,246
35.511129,139.574911,Larvitar,由基拉,26,21:19:57,246
34.611094,135.427779,Larvitar,由基拉,62,21:18:40,246
36.521683,136.640081,Larvitar,由基拉,80,21:28:26,246
36.068927,139.261453,Larvitar,由基拉,44,21:21:38,246
34.691106,135.694125,Larvitar,由基拉,33,21:18:44,246
40.505006,141.446277,Larvitar,由基拉,77,21:22:48,246
35.613307,139.381301,Larvitar,由基拉,48,21:22:52,246
22.486747,114.224422,Larvitar,由基拉,53,21:16:19,246
22.427007,114.230644,Larvitar,由基拉,64,21:18:20,246
35.646496,139.815425,Larvitar,由基拉,66,21:35:01,246
22.528979,114.192378,Larvitar,由基拉,13,21:20:04,246
34.268773,133.754918,Larvitar,由基拉,44,21:24:03,246
26.273748,127.727796,Larvitar,由基拉,24,21:21:37,246
33.623082,130.413704,Larvitar,由基拉,20,21:27:16,246
34.402217,133.190417,Larvitar,由基拉,53,21:28:37,246
34.496694,133.385150,Larvitar,由基拉,62,21:41:54,246
34.405504,132.498497,Larvitar,由基拉,,21:20:39,246
35.601923,138.619507,Larvitar,由基拉,,21:19:06,246
